id1,id2,score,is_correct,classification
metabooks_453553,goodreads_81,1.0,False,FP
metabooks_441324,goodreads_658,1.0,False,FP
metabooks_441324,goodreads_2877,1.0,False,FP
metabooks_441324,goodreads_4464,1.0,False,FP
metabooks_34294,goodreads_3871,1.0,False,FP
metabooks_43203,goodreads_3871,1.0,False,FP
metabooks_88397,goodreads_3871,1.0,False,FP
metabooks_278992,goodreads_3871,1.0,False,FP
metabooks_419556,goodreads_3871,1.0,False,FP
metabooks_221243,goodreads_9660,1.0,False,FP
metabooks_221243,goodreads_19089,1.0,False,FP
metabooks_221243,goodreads_30983,1.0,False,FP
metabooks_221243,goodreads_32651,1.0,False,FP
metabooks_221243,goodreads_34137,1.0,False,FP
metabooks_221243,goodreads_36568,1.0,False,FP
metabooks_221243,goodreads_36974,1.0,False,FP
metabooks_221243,goodreads_40107,1.0,False,FP
metabooks_221243,goodreads_40122,1.0,False,FP
metabooks_221243,goodreads_41902,1.0,False,FP
metabooks_221243,goodreads_43896,1.0,False,FP
metabooks_221243,goodreads_44710,1.0,False,FP
metabooks_221243,goodreads_45629,1.0,False,FP
metabooks_221243,goodreads_46054,1.0,False,FP
metabooks_221243,goodreads_46819,1.0,False,FP
metabooks_221243,goodreads_47184,1.0,False,FP
metabooks_231177,goodreads_9660,1.0,False,FP
metabooks_231177,goodreads_19089,1.0,False,FP
metabooks_231177,goodreads_30983,1.0,False,FP
metabooks_231177,goodreads_32651,1.0,False,FP
metabooks_231177,goodreads_34137,1.0,False,FP
metabooks_231177,goodreads_36568,1.0,False,FP
metabooks_231177,goodreads_36974,1.0,False,FP
metabooks_231177,goodreads_40107,1.0,False,FP
metabooks_231177,goodreads_40122,1.0,False,FP
metabooks_231177,goodreads_41902,1.0,False,FP
metabooks_231177,goodreads_43896,1.0,False,FP
metabooks_231177,goodreads_44710,1.0,False,FP
metabooks_231177,goodreads_45629,1.0,False,FP
metabooks_231177,goodreads_46054,1.0,False,FP
metabooks_231177,goodreads_46819,1.0,False,FP
metabooks_231177,goodreads_47184,1.0,False,FP
metabooks_300077,goodreads_9660,1.0,False,FP
metabooks_300077,goodreads_19089,1.0,False,FP
metabooks_300077,goodreads_30983,1.0,False,FP
metabooks_300077,goodreads_32651,1.0,False,FP
metabooks_300077,goodreads_34137,1.0,False,FP
metabooks_300077,goodreads_36568,1.0,False,FP
