id,source,name,name_norm,map_url,phone_raw,phone_e164,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
yelp-05646,yelp,The Empanada Company,the empanada company,https://www.yelp.com/biz/the-empanada-company-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18328310360.0,18328310360.0,2925 W T C Jester Blvd,,W T C Jester Blvd,2925,Houston,TX,77018,US,29.8152729773746,-95.4460131931082,['latin'],4.3,156.0
yelp-05647,yelp,Sofia's Hot Dogs - Perros Calientes,sofia s hot dogs perros calientes,https://www.yelp.com/biz/sofias-hot-dogs-perros-calientes-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,4904 Airline Dr,,Airline Dr,4904,Houston,TX,77022,US,29.83753,-95.38403,['mexican'],5.0,1.0
yelp-05648,yelp,The Original Connie's Seafood Market & Restaurant,the original connie s seafood market restaurant,https://www.yelp.com/biz/the-original-connies-seafood-market-and-restaurant-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17138682144.0,17138682144.0,2525 Airline Dr,,Airline Dr,2525,Houston,TX,77009,US,29.810884909243043,-95.3823365293883,"['mexican', 'seafood']",3.8,294.0
yelp-05649,yelp,Ranchero King Buffet,ranchero king buffet,https://www.yelp.com/biz/ranchero-king-buffet-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136925959.0,17136925959.0,5900 N Fwy,,N Fwy,5900,Houston,TX,77076,US,29.851390269508627,-95.39544033762108,['mexican'],2.3,117.0
yelp-05650,yelp,Ascione Bistro,ascione bistro,https://www.yelp.com/biz/ascione-bistro-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17733638161.0,17733638161.0,1500 E 55th St,,E 55th St,1500,Chicago,IL,60615,US,41.79531970118244,-87.58864906715591,['italian'],4.4,379.0
yelp-05651,yelp,Mahari,mahari,https://www.yelp.com/biz/mahari-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,1504 E 55th St,,E 55th St,1504,Chicago,IL,60615,US,41.79544298868167,-87.58856099561108,[],4.2,53.0
yelp-05652,yelp,Virtue Restaurant,virtue restaurant,https://www.yelp.com/biz/virtue-restaurant-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17739478831.0,17739478831.0,1462 E 53rd St,,E 53rd St,1462,Chicago,IL,60615,US,41.79968,-87.58983,[],4.5,1112.0
yelp-05653,yelp,Truth Be Told,truth be told,https://www.yelp.com/biz/truth-be-told-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18723151319.0,18723151319.0,1227 E 60th St,,E 60th St,1227,Chicago,IL,60637,US,41.7858903,-87.5958172,[],3.9,108.0
yelp-05654,yelp,Gorée Cuisine,goree cuisine,https://www.yelp.com/biz/gor%C3%A9e-cuisine-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17738558120.0,17738558120.0,1126 E 47th St,,E 47th St,1126,Chicago,IL,60653,US,41.8097706381699,-87.59817392478504,[],4.7,387.0
yelp-05655,yelp,Strings Ramen- Hyde Park,strings ramen hyde park,https://www.yelp.com/biz/strings-ramen-hyde-park-chicago?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17736332797.0,17736332797.0,1453 E 53rd St,,E 53rd St,1453,Chicago,IL,60615,US,41.79923,-87.58963,[],4.3,194.0
